                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.369,                  1.486,                 1.1256,                0.48086,                0.32813,                0.29595,                0.18814,                 1.4393,                 1.5833,                 1.1555,             0.00053978,             0.00053978,             0.00053978
                     35,                 1.3633,                 1.4844,                 1.1284,                0.37414,                0.31916,                0.29947,                0.18906,                 1.4491,                 1.5625,                 1.1598,             0.00053062,             0.00053062,             0.00053062
                     36,                 1.3588,                 1.4799,                 1.1232,                0.47894,                0.33885,                0.30735,                0.19539,                  1.419,                  1.566,                  1.155,             0.00052146,             0.00052146,             0.00052146
                     37,                 1.3566,                 1.4728,                 1.1264,                0.47197,                0.34195,                 0.3153,                0.19237,                  1.446,                 1.5662,                 1.1579,              0.0005123,              0.0005123,              0.0005123
                     38,                  1.365,                  1.458,                 1.1208,                0.48967,                 0.3274,                0.29669,                0.18523,                 1.4446,                 1.5707,                 1.1644,             0.00050313,             0.00050313,             0.00050313
                     39,                  1.355,                 1.4586,                 1.1198,                0.49556,                0.32951,                0.31226,                0.19772,                 1.4328,                 1.5686,                 1.1634,             0.00049397,             0.00049397,             0.00049397
                     40,                 1.3714,                 1.4468,                 1.1223,                0.48471,                0.33585,                0.30737,                0.19332,                 1.4205,                 1.5593,                 1.1516,             0.00048481,             0.00048481,             0.00048481
                     41,                 1.3292,                 1.4446,                 1.1187,                0.51878,                0.31211,                0.32238,                0.19884,                 1.4367,                 1.5791,                 1.1611,             0.00047564,             0.00047564,             0.00047564
                     42,                 1.3326,                 1.4267,                 1.1082,                0.50456,                0.32924,                0.31301,                0.19741,                 1.4246,                 1.5968,                 1.1565,             0.00046648,             0.00046648,             0.00046648
                     43,                 1.3363,                 1.4172,                 1.1107,                0.48788,                0.33425,                0.32908,                0.21051,                 1.4111,                 1.5536,                 1.1515,             0.00045732,             0.00045732,             0.00045732
                     44,                 1.3408,                 1.4119,                 1.1076,                  0.495,                0.34395,                0.31452,                0.19803,                 1.4417,                 1.5596,                 1.1563,             0.00044815,             0.00044815,             0.00044815
                     45,                 1.3246,                 1.4074,                 1.1037,                0.50154,                0.34324,                0.31276,                0.19655,                 1.4493,                 1.5683,                 1.1647,             0.00043899,             0.00043899,             0.00043899
                     46,                  1.302,                 1.3869,                 1.1056,                0.37029,                0.33088,                0.30989,                0.19749,                 1.4131,                 1.5666,                 1.1481,             0.00042983,             0.00042983,             0.00042983
                     47,                 1.2967,                 1.3816,                 1.0994,                0.50145,                0.33191,                 0.3169,                0.20205,                 1.4246,                 1.5402,                 1.1615,             0.00042066,             0.00042066,             0.00042066
                     48,                 1.3051,                 1.3842,                 1.1001,                0.48757,                0.35903,                0.31989,                0.20204,                 1.4231,                 1.5356,                 1.1571,              0.0004115,              0.0004115,              0.0004115
                     49,                  1.296,                 1.3714,                 1.0964,                 0.5051,                0.33469,                0.31747,                0.19966,                  1.409,                 1.5547,                 1.1556,             0.00040234,             0.00040234,             0.00040234
                     50,                 1.3088,                 1.3653,                 1.1027,                0.49576,                0.34438,                 0.3263,                0.20766,                 1.4071,                 1.5388,                 1.1493,             0.00039318,             0.00039318,             0.00039318
                     51,                 1.2779,                  1.351,                  1.089,                 0.5211,                0.31977,                 0.3255,                0.20446,                 1.4229,                 1.5445,                 1.1504,             0.00038401,             0.00038401,             0.00038401
                     52,                 1.2569,                 1.3422,                 1.0885,                0.38247,                0.35127,                0.31366,                0.19957,                 1.3835,                 1.5396,                 1.1517,             0.00037485,             0.00037485,             0.00037485
                     53,                 1.2725,                 1.3492,                 1.0826,                0.49099,                0.33662,                0.31608,                0.20471,                 1.3876,                 1.5264,                 1.1476,             0.00036569,             0.00036569,             0.00036569
                     54,                 1.2743,                 1.3244,                 1.0856,                0.37077,                0.34148,                0.31125,                0.19693,                 1.4067,                 1.5707,                 1.1486,             0.00035652,             0.00035652,             0.00035652
                     55,                 1.2658,                 1.3198,                 1.0834,                0.48881,                0.33665,                0.31184,                0.19986,                  1.409,                 1.5614,                 1.1501,             0.00034736,             0.00034736,             0.00034736
                     56,                 1.2546,                 1.3024,                 1.0776,                0.49485,                0.35033,                0.31676,                0.20183,                 1.4032,                 1.5544,                  1.154,              0.0003382,              0.0003382,              0.0003382
                     57,                 1.2745,                  1.328,                 1.0854,                0.49527,                0.33764,                0.32023,                0.20618,                  1.403,                 1.5442,                 1.1506,             0.00032903,             0.00032903,             0.00032903
                     58,                 1.2608,                  1.316,                 1.0775,                0.47822,                0.33522,                0.31151,                0.20071,                 1.4004,                 1.5696,                 1.1464,             0.00031987,             0.00031987,             0.00031987
                     59,                 1.2524,                 1.2976,                 1.0755,                0.38315,                0.32922,                0.32226,                0.20169,                 1.4095,                 1.5432,                 1.1579,             0.00031071,             0.00031071,             0.00031071
                     60,                 1.2695,                  1.291,                 1.0818,                0.48479,                0.34143,                0.31142,                0.19806,                 1.3944,                 1.5407,                 1.1491,             0.00030155,             0.00030155,             0.00030155
                     61,                 1.2456,                 1.2831,                 1.0751,                0.50482,                0.33732,                0.31386,                0.20171,                 1.3793,                 1.5315,                 1.1378,             0.00029238,             0.00029238,             0.00029238
                     62,                 1.2478,                   1.27,                 1.0763,                 0.5028,                  0.328,                0.30994,                 0.2003,                 1.3917,                  1.538,                 1.1542,             0.00028322,             0.00028322,             0.00028322
                     63,                 1.2373,                 1.2657,                 1.0755,                 0.4953,                0.34061,                0.32508,                0.21074,                 1.4093,                 1.5394,                 1.1513,             0.00027406,             0.00027406,             0.00027406
                     64,                 1.2299,                 1.2635,                 1.0734,                0.39861,                0.32028,                0.31141,                0.19904,                 1.3894,                 1.5676,                 1.1534,             0.00026489,             0.00026489,             0.00026489
                     65,                 1.2193,                 1.2554,                 1.0673,                0.41959,                0.35604,                0.31262,                0.20012,                 1.3896,                 1.5582,                 1.1519,             0.00025573,             0.00025573,             0.00025573
                     66,                 1.2261,                 1.2493,                 1.0656,                0.36482,                0.34523,                 0.3144,                0.20116,                 1.3963,                   1.55,                  1.149,             0.00024657,             0.00024657,             0.00024657
                     67,                 1.2195,                 1.2472,                 1.0662,                0.51231,                0.33583,                0.32173,                0.20681,                 1.3824,                  1.528,                  1.151,             0.00023741,             0.00023741,             0.00023741
                     68,                 1.2264,                 1.2284,                 1.0657,                0.48743,                0.34456,                0.32045,                0.20647,                 1.3975,                 1.5522,                 1.1526,             0.00022824,             0.00022824,             0.00022824
                     69,                 1.2007,                 1.2152,                 1.0512,                0.49819,                0.35147,                0.32304,                0.20612,                 1.4005,                 1.5504,                 1.1555,             0.00021908,             0.00021908,             0.00021908
                     70,                 1.1967,                 1.2117,                 1.0558,                0.46866,                0.35951,                0.31907,                0.20681,                 1.4043,                 1.5511,                 1.1567,             0.00020992,             0.00020992,             0.00020992
                     71,                 1.2054,                 1.2078,                 1.0566,                0.39886,                0.39508,                0.32882,                0.21135,                 1.4184,                 1.5612,                 1.1573,             0.00020075,             0.00020075,             0.00020075
                     72,                 1.1875,                 1.1875,                 1.0568,                0.46187,                0.37432,                0.32765,                0.21215,                 1.3931,                 1.5471,                 1.1486,             0.00019159,             0.00019159,             0.00019159
                     73,                 1.1967,                 1.1958,                 1.0591,                0.50913,                0.33753,                0.32456,                0.21133,                 1.3904,                 1.5381,                 1.1484,             0.00018243,             0.00018243,             0.00018243
                     74,                  1.195,                  1.187,                 1.0544,                0.37883,                0.36096,                0.33004,                 0.2142,                 1.3887,                 1.5397,                  1.149,             0.00017326,             0.00017326,             0.00017326
